run,repetition,__done,generation,model_size,task,tokens,duration_ms,time(s),energy,accuracy
25,18,DONE,3.2,3B,CB,14123,111843,"111,84",43251.90528925778,0.975
9,4,DONE,3.0,8B,RTE,11756,198877,"198,88",80569.29129707029,0.9818181818181818
28,9,DONE,3.2,3B,WiC,12220,96639,"96,64",38380.25787480466,0.9714285714285715
10,11,DONE,3.0,8B,WiC,14810,249912,"249,91",101551.78628984372,0.9714285714285715
3,8,DONE,2.0,7B,RTE,12250,188664,"188,66",78193.31421113276,0.8511111111111112
12,28,DONE,3.1,8B,BoolQ,8089,137852,"137,85",56580.57256015629,0.9333333333333332
9,22,DONE,3.0,8B,RTE,11756,198880,"198,88",81749.2302535156,0.8857142857142858
27,16,DONE,3.2,3B,RTE,11274,89831,"89,83",35674.0471746093,0.9
24,19,DONE,3.2,3B,BoolQ,11957,94852,"94,85",37332.54585273438,1.0
5,18,DONE,2.0,7B,WSC,11578,178861,"178,86",73825.95609941415,0.96
6,28,DONE,3.0,8B,BoolQ,7085,120835,"120,84",49597.79185546877,1.0
29,18,DONE,3.2,3B,WSC,8355,66629,"66,63",26046.93197968749,0.8533333333333333
18,8,DONE,3.2,1B,BoolQ,12792,43820,"43,82",16212.206606250003,1.0
20,10,DONE,3.2,1B,COPA,12531,43816,"43,82",16494.27282910157,0.8400000000000001
7,9,DONE,3.0,8B,CB,13110,221874,"221,87",90495.08556718745,0.96
22,29,DONE,3.2,1B,WiC,12330,41813,"41,81",16110.125801367203,1.0
2,5,DONE,2.0,7B,COPA,12554,191894,"191,89",79611.25922558588,1.0
5,10,DONE,2.0,7B,WSC,11578,178895,"178,90",74477.90244472655,0.9666666666666666
25,15,DONE,3.2,3B,CB,14123,111836,"111,84",44362.87283203123,0.9555555555555555
2,4,DONE,2.0,7B,COPA,12554,191861,"191,86",79225.58852988287,1.0
7,6,DONE,3.0,8B,CB,13110,222682,"222,68",91423.8763978516,0.9199999999999999
17,6,DONE,3.1,8B,WSC,7126,121840,"121,84",49714.80353164067,0.95
16,2,DONE,3.1,8B,WiC,14562,245700,"245,70",101307.17918261712,1.0
1,19,DONE,2.0,7B,CB,13678,211869,"211,87",87874.69917343756,1.0
16,13,DONE,3.1,8B,WiC,14562,245904,"245,90",101020.32554902336,1.0
23,8,DONE,3.2,1B,WSC,7815,26810,"26,81",10091.812437304685,0.7533333333333333
25,2,DONE,3.2,3B,CB,14123,112841,"112,84",44438.16490039062,0.9555555555555555
7,19,DONE,3.0,8B,CB,13110,221890,"221,89",90966.55998027357,0.7955555555555556
22,6,DONE,3.2,1B,WiC,12330,41812,"41,81",15978.149436132811,1.0
23,5,DONE,3.2,1B,WSC,7815,27809,"27,81",10131.304249414115,0.95
4,12,DONE,2.0,7B,WiC,13138,202894,"202,89",84250.8895714845,1.0
2,16,DONE,2.0,7B,COPA,12554,191678,"191,68",79381.14163847662,1.0
18,18,DONE,3.2,1B,BoolQ,12792,43823,"43,82",16731.54325957031,0.9028571428571428
15,5,DONE,3.1,8B,RTE,9180,156857,"156,86",63978.25482617178,0.9428571428571428
27,20,DONE,3.2,3B,RTE,11274,88831,"88,83",35368.56613554687,1.0
8,8,DONE,3.0,8B,COPA,11806,199888,"199,89",81542.97231503899,0.9349999999999999
0,23,DONE,2.0,7B,BoolQ,13756,211686,"211,69",87842.19399355464,1.0
13,9,DONE,3.1,8B,CB,9343,159674,"159,67",65439.77367773435,1.0
24,28,DONE,3.2,3B,BoolQ,11957,94843,"94,84",37540.09507246096,1.0
16,21,DONE,3.1,8B,WiC,14562,246880,"246,88",101357.91156640631,1.0
23,26,DONE,3.2,1B,WSC,7815,26807,"26,81",10144.61665976564,0.9111111111111111
11,16,DONE,3.0,8B,WSC,7419,126656,"126,66",51317.68380000004,0.8670634920634921
5,19,DONE,2.0,7B,WSC,11578,177890,"177,89",73906.11725820304,0.8333333333333333
23,20,DONE,3.2,1B,WSC,7815,27816,"27,82",10262.334123046869,0.9099999999999999
17,4,DONE,3.1,8B,WSC,7126,121842,"121,84",49921.95294570312,0.8400000000000001
11,1,DONE,3.0,8B,WSC,7419,126654,"126,65",51023.96158476561,0.8833333333333334
14,20,DONE,3.1,8B,COPA,12455,210687,"210,69",85886.30084570326,0.9333333333333332
27,13,DONE,3.2,3B,RTE,11274,89838,"89,84",35091.85505859372,1.0
11,27,DONE,3.0,8B,WSC,7419,125851,"125,85",51076.74845117191,0.9266666666666667
11,0,DONE,3.0,8B,WSC,7419,126870,"126,87",51793.81913808593,1.0
1,7,DONE,2.0,7B,CB,13678,211868,"211,87",87686.87582167977,1.0
3,23,DONE,2.0,7B,RTE,12250,188890,"188,89",78088.40070000014,0.9714285714285715
17,17,DONE,3.1,8B,WSC,7126,122855,"122,86",50300.54835449219,0.8333333333333333
27,28,DONE,3.2,3B,RTE,11274,88838,"88,84",34962.38020507812,1.0
17,28,DONE,3.1,8B,WSC,7126,122644,"122,64",50324.28564589841,0.8133333333333332
14,3,DONE,3.1,8B,COPA,12455,210686,"210,69",86377.47930898432,1.0
14,0,DONE,3.1,8B,COPA,12455,210668,"210,67",86365.39171992177,1.0
7,8,DONE,3.0,8B,CB,13110,222701,"222,70",91640.2772082032,0.8583333333333332
10,21,DONE,3.0,8B,WiC,14810,250688,"250,69",102948.39444472668,0.9777777777777779
3,14,DONE,2.0,7B,RTE,12250,188855,"188,86",78233.93411152346,0.925
14,14,DONE,3.1,8B,COPA,12455,210671,"210,67",86627.14318300784,0.9199999999999999
13,24,DONE,3.1,8B,CB,9343,160662,"160,66",65886.5134703125,0.9333333333333332
12,17,DONE,3.1,8B,BoolQ,8089,137673,"137,67",56497.38634921879,0.9
3,12,DONE,2.0,7B,RTE,12250,188864,"188,86",78082.78885312486,1.0
7,3,DONE,3.0,8B,CB,13110,222882,"222,88",91547.38018769538,1.0
15,18,DONE,3.1,8B,RTE,9180,156850,"156,85",64265.41384824217,1.0
20,6,DONE,3.2,1B,COPA,12531,42814,"42,81",16332.70480859377,0.9199999999999999
3,18,DONE,2.0,7B,RTE,12250,188689,"188,69",77920.0676371094,0.95
15,11,DONE,3.1,8B,RTE,9180,156658,"156,66",64353.48071191409,0.9199999999999999
4,13,DONE,2.0,7B,WiC,13138,201880,"201,88",83904.49919570316,1.0
9,6,DONE,3.0,8B,RTE,11756,198869,"198,87",81437.94700390626,0.9714285714285715
5,9,DONE,2.0,7B,WSC,11578,178857,"178,86",73577.59485937488,0.9095238095238095
19,22,DONE,3.2,1B,CB,15051,51820,"51,82",19798.74653945311,0.888888888888889
13,7,DONE,3.1,8B,CB,9343,159653,"159,65",64878.447034960984,0.9555555555555555
24,24,DONE,3.2,3B,BoolQ,11957,94838,"94,84",37441.01963710939,1.0
2,27,DONE,2.0,7B,COPA,12554,191863,"191,86",78387.9581101562,1.0
23,6,DONE,3.2,1B,WSC,7815,26812,"26,81",10058.951065820318,0.8833333333333334
14,16,DONE,3.1,8B,COPA,12455,210699,"210,70",85576.99608300776,0.9047619047619048
29,14,DONE,3.2,3B,WSC,8355,66819,"66,82",26302.207898242206,0.9714285714285715
0,7,DONE,2.0,7B,BoolQ,13756,211875,"211,88",87100.47291718738,0.975
7,5,DONE,3.0,8B,CB,13110,222700,"222,70",90921.14115625,0.9158730158730158
6,27,DONE,3.0,8B,BoolQ,7085,120839,"120,84",49683.294889648365,0.9466666666666667
26,29,DONE,3.2,3B,COPA,11384,89636,"89,64",35239.75115898451,1.0
1,21,DONE,2.0,7B,CB,13678,210867,"210,87",87218.89092128904,1.0
20,3,DONE,3.2,1B,COPA,12531,42825,"42,83",16186.340023632803,0.9636363636363636
12,25,DONE,3.1,8B,BoolQ,8089,137656,"137,66",56151.667000781265,0.95
15,29,DONE,3.1,8B,RTE,9180,156867,"156,87",64043.77695742193,0.9714285714285715
3,27,DONE,2.0,7B,RTE,12250,188877,"188,88",78059.75422753899,1.0
3,5,DONE,2.0,7B,RTE,12250,188878,"188,88",78310.34284414072,0.9199999999999999
23,2,DONE,3.2,1B,WSC,7815,27809,"27,81",10433.36640996094,0.9
26,24,DONE,3.2,3B,COPA,11384,89839,"89,84",35111.35888515628,1.0
15,12,DONE,3.1,8B,RTE,9180,156667,"156,67",64116.515726953156,1.0
13,21,DONE,3.1,8B,CB,9343,159869,"159,87",65235.42030898434,0.9333333333333332
