generation,task,n_reps,mean_E,median_E,var_E,sd_E,min_E,max_E
2,BoolQ,30,87434.664,87625.144,321969.357,567.423,86068.434,88204.957
3,BoolQ,30,49513.379,49541.495,155630.827,394.501,48685.946,50117.015
3.1,BoolQ,30,56413.311,56436.849,170548.801,412.976,55141.566,57030.754
3.2,BoolQ,60,27118.599,27152.688,69963700.894,8364.431,16212.207,37799.494
2,CB,30,87413.808,87437.337,185123.855,430.26,86377.116,88069.88
3,CB,30,90874.756,90936.549,288111.627,536.76,89595.82,91915.823
3.1,CB,30,65374.023,65388.521,274932.875,524.34,64046.987,66367.874
3.2,CB,60,31782.087,31829.687,141530740.945,11896.669,18960.523,44751.473
2,COPA,30,79131.916,79253.416,252854.393,502.846,77987.543,80273.26
3,COPA,30,81257.67,81232.817,372061.866,609.969,79605.374,82220.982
3.1,COPA,30,86116.243,86085.709,388764.895,623.51,84681.645,87168.581
3.2,COPA,60,26190.619,26156.777,106681231.448,10328.661,14263.663,37901.868
2,RTE,30,78135.194,78124.491,95898.087,309.674,77491.351,78752.317
3,RTE,30,81266.792,81250.939,390180.208,624.644,80247.821,82499.131
3.1,RTE,30,64045.643,64007.121,311955.604,558.53,62863.15,65134.363
3.2,RTE,60,24929.535,24673.054,127204009.775,11278.476,13308.088,37005.325
2,WiC,30,83475.982,83635.119,287917.025,536.579,82053.492,84364.102
3,WiC,30,102331.39,102305.521,863358.53,929.171,100076.515,104496.073
3.1,WiC,30,100755.804,100878.043,391240.104,625.492,99635.822,102303.778
3.2,WiC,60,27316.516,26096.984,125824594.846,11217.156,15770.684,40237.037
2,WSC,30,73748.556,73681.644,193811.074,440.24,72416.716,74477.902
3,WSC,30,51149.75,51211.22,191032.809,437.073,50123.147,51971.116
3.1,WSC,30,49710.889,49717.051,116679.015,341.583,49107.042,50324.286
3.2,WSC,60,18246.315,18086.398,67132219.209,8193.425,9605.901,27343.217
