Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760508826946,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,0,0,0,0,29.032257080078125,0,64.51612854003906,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22580623626709,0,0,0,0,0,6.45161247253418,0,0,0,0,3.22580623626709,0,24564,357,3929,39,0,69287.23736572266,112825.41790771484,0,134868701184,8589930496,2636242944,7340032
201,1760508826946,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,0,0,0,0,29.032257080078125,0,64.51612854003906,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22580623626709,0,0,0,0,0,6.45161247253418,0,0,0,0,3.22580623626709,0,24564,357,3929,39,0,69287.71423339844,112825.78698730469,0,134868701184,8589930496,2640113664,7340032
200,1760508827147,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,0,0,4.34782600402832,4.34782600402832,13.636363983154297,4.545454502105713,95.65217590332031,4.545454502105713,4.34782600402832,0,4.34782600402832,4.34782600402832,59.09090805053711,17.39130401611328,0,4.545454502105713,0,0,4.34782600402832,4.34782600402832,0,0,0,4.34782600402832,4.34782600402832,4.34782600402832,0,0,0,4.34782600402832,0,8.69565200805664,0,24564,357,3929,39,0,69298.95849609375,112834.6675415039,0,134868701184,8589930496,2841370624,7340032
199,1760508827347,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,42.85714340209961,40,40,40,65,40,100,40,40,42.85714340209961,40,40,71.42857360839844,40,40,40,40,40,40,40,40,40,40,40,42.105262756347656,42.105262756347656,40,40,40,40,42.85714340209961,42.105262756347656,0,24564,357,3903,39,0,69319.1986694336,112852.5689086914,0,134868701184,8589930496,2875408384,7340032
200,1760508827547,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,0,4.761904716491699,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3903,39,0,69330.23321533203,112861.2788696289,0,134868701184,8589930496,2928275456,7340032
200,1760508827747,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3903,39,0,69341.04125976563,112869.76043701172,0,134868701184,8589930496,2969563136,7340032
200,1760508827947,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3903,39,0,69351.92407226563,112878.29791259766,0,134868701184,8589930496,3001561088,7340032
200,1760508828147,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3903,39,0,69362.7847290039,112886.87371826172,0,134868701184,8589930496,3013951488,7340032
199,1760508828347,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3881,39,0,69373.3539428711,112895.16796875,0,134868701184,8589930496,3038208000,7340032
200,1760508828547,1096,800,800,800,5961,800,800,800,3785,3772,2994,4399,1362,4400,1066,800,2316,1835,1169,2004,1362,800,1750,800,800,1806,800,800,800,800,800,800,45,42.85714340209961,40,42.105262756347656,100,40,100,45,40,42.105262756347656,42.105262756347656,42.105262756347656,42.105262756347656,45,45,40,42.85714340209961,45,42.105262756347656,42.105262756347656,40,42.85714340209961,42.85714340209961,40,42.105262756347656,40,42.85714340209961,40,45,42.105262756347656,40,42.105262756347656,0,24564,357,3881,39,0,69393.33184814453,112912.74340820313,0,134868701184,8589930496,3066531840,7340032
