__run_id,__done,generation,model_size,task,energy
run_25_repetition_18,DONE,3.2,3B,CB,6451.2413330078125
run_9_repetition_4,DONE,3,8B,RTE,11132.564025878906
run_28_repetition_9,DONE,3.2,3B,WiC,5964.728454589844
run_10_repetition_11,DONE,3,8B,WiC,14014.020568847656
run_3_repetition_8,DONE,2,7B,RTE,10928.841918945312
run_12_repetition_28,DONE,3.1,8B,BoolQ,8121.673034667969
run_9_repetition_22,DONE,3,8B,RTE,11505.631652832031
run_27_repetition_16,DONE,3.2,3B,RTE,5662.066162109375
run_24_repetition_19,DONE,3.2,3B,BoolQ,5787.2169189453125
run_5_repetition_18,DONE,2,7B,WSC,251951.22210693362
run_6_repetition_28,DONE,3,8B,BoolQ,7352.036865234375
run_29_repetition_18,DONE,3.2,3B,WSC,4269.8404541015625
run_18_repetition_8,DONE,3.2,1B,BoolQ,2986.4965209960938
run_20_repetition_10,DONE,3.2,1B,COPA,3104.6284790039062
run_7_repetition_9,DONE,3,8B,CB,12629.528076171875
run_22_repetition_29,DONE,3.2,1B,WiC,3109.4479370117188
run_2_repetition_5,DONE,2,7B,COPA,11158.112426757812
run_5_repetition_10,DONE,2,7B,WSC,10332.448303222656
run_25_repetition_15,DONE,3.2,3B,CB,6869.623107910156
run_2_repetition_4,DONE,2,7B,COPA,10987.063232421875
run_7_repetition_6,DONE,3,8B,CB,12680.492736816406
run_17_repetition_6,DONE,3.1,8B,WSC,7324.9498291015625
run_16_repetition_2,DONE,3.1,8B,WiC,14278.484191894531
run_1_repetition_19,DONE,2,7B,CB,12145.831665039062
run_16_repetition_13,DONE,3.1,8B,WiC,14169.642700195312
run_23_repetition_8,DONE,3.2,1B,WSC,2152.8494873046875
run_25_repetition_2,DONE,3.2,3B,CB,6819.948913574219
run_7_repetition_19,DONE,3,8B,CB,12716.1669921875
run_22_repetition_6,DONE,3.2,1B,WiC,3129.5008544921875
run_23_repetition_5,DONE,3.2,1B,WSC,2031.1475219726562
run_4_repetition_12,DONE,2,7B,WiC,11739.497497558594
run_2_repetition_16,DONE,2,7B,COPA,11012.163330078125
