,__run_id,__done,generation,model_size,task,run,rep,duration_ms,cpu_joules,gpu_joules,energy_consumption_total_joules,response_length_sum_characters,response_token_count,accuracy
0,run_25_repetition_18,DONE,3.2,3B,CB,25,18,111843.0,5784.825744628906,37467.079544628876,43251.90528925778,69734.0,14123.0,0.975
1,run_9_repetition_4,DONE,3.0,8B,RTE,9,4,198877.0,10298.242248535127,70271.04904853516,80569.29129707029,58692.0,11756.0,0.9818181818181818
2,run_28_repetition_9,DONE,3.2,3B,WiC,28,9,96639.0,5284.545837402344,33095.712037402314,38380.25787480466,53139.0,12220.0,0.9714285714285715
3,run_10_repetition_11,DONE,3.0,8B,WiC,10,11,249912.0,13127.821044921875,88423.96524492186,101551.78628984373,63663.0,14810.0,0.9714285714285715
4,run_3_repetition_8,DONE,2.0,7B,RTE,3,8,188664.0,10109.410705566406,68083.90350556636,78193.31421113276,54273.0,12250.0,0.8511111111111112
5,run_12_repetition_28,DONE,3.1,8B,BoolQ,12,28,137852.0,7270.819580078125,49309.75298007816,56580.57256015629,37425.0,8089.0,0.9333333333333332
6,run_9_repetition_22,DONE,3.0,8B,RTE,9,22,198880.0,10641.549926757812,71107.68032675779,81749.2302535156,58692.0,11756.0,0.8857142857142858
7,run_27_repetition_16,DONE,3.2,3B,RTE,27,16,89831.0,5000.349487304658,30673.697687304644,35674.0471746093,56663.0,11274.0,0.9
8,run_24_repetition_19,DONE,3.2,3B,BoolQ,24,19,94852.0,5087.0145263671875,32245.531326367192,37332.54585273438,55166.0,11957.0,1.0
9,run_5_repetition_18,DONE,2.0,7B,WSC,5,18,178861.0,9410.16094970703,64415.79514970712,73825.95609941415,45028.0,11578.0,0.96
10,run_6_repetition_28,DONE,3.0,8B,BoolQ,6,28,120835.0,6470.888427734375,43126.90342773439,49597.791855468764,33226.0,7085.0,1.0
11,run_29_repetition_18,DONE,3.2,3B,WSC,29,18,66629.0,3555.57958984375,22491.35238984374,26046.93197968749,34580.0,8355.0,0.8533333333333333
12,run_18_repetition_8,DONE,3.2,1B,BoolQ,18,8,43820.0,2430.158203125,13782.048403125003,16212.206606250003,60358.0,12792.0,1.0
13,run_20_repetition_10,DONE,3.2,1B,COPA,20,10,43816.0,2609.0999145507812,13885.172914550789,16494.27282910157,59808.0,12531.0,0.8400000000000001
14,run_7_repetition_9,DONE,3.0,8B,CB,7,9,221874.0,11767.57568359375,78727.50988359368,90495.08556718743,65239.0,13110.0,0.96
15,run_22_repetition_29,DONE,3.2,1B,WiC,22,29,41813.0,2529.780700683601,13580.345100683602,16110.125801367203,55147.0,12330.0,1.0
16,run_2_repetition_5,DONE,2.0,7B,COPA,2,5,191894.0,10347.753112792976,69263.50611279291,79611.25922558588,53692.0,12554.0,1.0
17,run_5_repetition_10,DONE,2.0,7B,WSC,5,10,178895.0,9577.620422363281,64900.282022363266,74477.90244472655,45028.0,11578.0,0.9666666666666666
18,run_25_repetition_15,DONE,3.2,3B,CB,25,15,111836.0,6156.388916015625,38206.483916015604,44362.87283203123,69734.0,14123.0,0.9555555555555555
19,run_2_repetition_4,DONE,2.0,7B,COPA,2,4,191861.0,10181.666564941406,69043.92196494146,79225.58852988287,53692.0,12554.0,1.0
20,run_7_repetition_6,DONE,3.0,8B,CB,7,6,222682.0,11814.933898925781,79608.94249892583,91423.8763978516,65239.0,13110.0,0.9199999999999999
21,run_17_repetition_6,DONE,3.1,8B,WSC,17,6,121840.0,6443.027465820327,43271.77606582034,49714.80353164067,29189.0,7126.0,0.95
22,run_16_repetition_2,DONE,3.1,8B,WiC,16,2,245700.0,13405.618591308594,87901.56059130852,101307.17918261711,63916.0,14562.0,1.0
23,run_1_repetition_19,DONE,2.0,7B,CB,1,19,211869.0,11340.98388671875,76533.71528671881,87874.69917343756,61276.0,13678.0,1.0
24,run_16_repetition_13,DONE,3.1,8B,WiC,16,13,245904.0,13317.908874511719,87702.41667451164,101020.32554902336,63916.0,14562.0,1.0
25,run_23_repetition_8,DONE,3.2,1B,WSC,23,8,26810.0,1584.5966186523438,8507.215818652341,10091.812437304685,31493.0,7815.0,0.7533333333333333
26,run_25_repetition_2,DONE,3.2,3B,CB,25,2,112841.0,6175.6114501953125,38262.55345019531,44438.16490039062,69734.0,14123.0,0.9555555555555555
27,run_7_repetition_19,DONE,3.0,8B,CB,7,19,221890.0,11834.449890136719,79132.11009013683,90966.55998027355,65239.0,13110.0,0.7955555555555556
28,run_22_repetition_6,DONE,3.2,1B,WiC,22,6,41812.0,2556.9810180664062,13421.168418066407,15978.149436132813,55147.0,12330.0,1.0
29,run_23_repetition_5,DONE,3.2,1B,WSC,23,5,27809.0,1523.8953247070604,8607.408924707057,10131.304249414117,31493.0,7815.0,0.95
30,run_4_repetition_12,DONE,2.0,7B,WiC,4,12,202894.0,10982.770385742188,73268.11918574231,84250.8895714845,53640.0,13138.0,1.0
31,run_2_repetition_16,DONE,2.0,7B,COPA,2,16,191678.0,10200.399719238281,69180.74191923834,79381.14163847662,53692.0,12554.0,1.0
32,run_18_repetition_18,DONE,3.2,1B,BoolQ,18,18,43823.0,2593.4180297851562,14138.125229785153,16731.54325957031,60358.0,12792.0,0.9028571428571428
33,run_15_repetition_5,DONE,3.1,8B,RTE,15,5,156857.0,8373.498413085908,55604.756413085874,63978.25482617178,46036.0,9180.0,0.9428571428571428
34,run_27_repetition_20,DONE,3.2,3B,RTE,27,20,88831.0,4945.6419677734375,30422.92416777343,35368.56613554687,56663.0,11274.0,1.0
35,run_8_repetition_8,DONE,3.0,8B,COPA,8,8,199888.0,10722.681457519502,70820.29085751949,81542.97231503899,55441.0,11806.0,0.9349999999999999
36,run_0_repetition_23,DONE,2.0,7B,BoolQ,0,23,211686.0,11315.426696777344,76526.7672967773,87842.19399355464,57714.0,13756.0,1.0
37,run_13_repetition_9,DONE,3.1,8B,CB,13,9,159674.0,8483.834838867188,56955.938838867165,65439.77367773435,46101.0,9343.0,1.0
38,run_24_repetition_28,DONE,3.2,3B,BoolQ,24,28,94843.0,5291.502136230474,32248.59293623048,37540.09507246096,55166.0,11957.0,1.0
39,run_16_repetition_21,DONE,3.1,8B,WiC,16,21,246880.0,13296.727783203125,88061.18378320319,101357.91156640631,63916.0,14562.0,1.0
40,run_23_repetition_26,DONE,3.2,1B,WSC,23,26,26807.0,1563.7706298828198,8580.846029882821,10144.616659765641,31493.0,7815.0,0.9111111111111111
41,run_11_repetition_16,DONE,3.0,8B,WSC,11,16,126656.0,6729.6875,44587.99630000004,51317.68380000004,30766.0,7419.0,0.8670634920634921
42,run_5_repetition_19,DONE,2.0,7B,WSC,5,19,177890.0,9646.512329101555,64259.60492910149,73906.11725820304,45028.0,11578.0,0.8333333333333333
43,run_23_repetition_20,DONE,3.2,1B,WSC,23,20,27816.0,1576.5130615234375,8685.821061523431,10262.334123046869,31493.0,7815.0,0.9099999999999999
44,run_17_repetition_4,DONE,3.1,8B,WSC,17,4,121842.0,6601.10217285157,43320.85077285155,49921.95294570312,29189.0,7126.0,0.8400000000000001
45,run_11_repetition_1,DONE,3.0,8B,WSC,11,1,126654.0,6635.9971923828125,44387.9643923828,51023.96158476561,30766.0,7419.0,0.8833333333333334
46,run_14_repetition_20,DONE,3.1,8B,COPA,14,20,210687.0,11271.945922851562,74614.3549228517,85886.30084570326,59483.0,12455.0,0.9333333333333332
47,run_27_repetition_13,DONE,3.2,3B,RTE,27,13,89838.0,4814.280029296875,30277.575029296848,35091.85505859372,56663.0,11274.0,1.0
48,run_11_repetition_27,DONE,3.0,8B,WSC,11,27,125851.0,6600.443725585967,44476.30472558594,51076.74845117191,30766.0,7419.0,0.9266666666666667
49,run_11_repetition_0,DONE,3.0,8B,WSC,11,0,126870.0,6775.600769042954,45018.218369042974,51793.81913808593,30766.0,7419.0,1.0
