__run_id,__done,generation,model_size,task
run_50_repetition_24,DONE,3.2,1B,COPA
run_66_repetition_1,DONE,3.2,11B,COPA
run_45_repetition_29,DONE,3.1,8B,RTE
run_73_repetition_28,DONE,4-scout,17B,CB
run_50_repetition_13,DONE,3.2,1B,COPA
run_65_repetition_16,DONE,3.2,11B,CB
run_82_repetition_11,DONE,4-maverick,17B,COPA
run_48_repetition_10,DONE,3.2,1B,BoolQ
run_22_repetition_28,DONE,2,6.7B,WiC
run_87_repetition_22,DONE,4-maverick,17B,WSC
run_8_repetition_14,DONE,1,13B,BoolQ
run_77_repetition_15,DONE,4-scout,17B,RTE
run_27_repetition_0,DONE,2,13B,MultiRC
run_43_repetition_0,DONE,3.1,8B,MultiRC
run_86_repetition_4,DONE,4-maverick,17B,WiC
run_46_repetition_20,DONE,3.1,8B,WiC
run_57_repetition_16,DONE,3.2,3B,CB
run_9_repetition_24,DONE,1,13B,CB
run_79_repetition_4,DONE,4-scout,17B,WSC
run_35_repetition_9,DONE,3,8B,MultiRC
run_56_repetition_18,DONE,3.2,3B,BoolQ
run_74_repetition_14,DONE,4-scout,17B,COPA
run_34_repetition_24,DONE,3,8B,COPA
run_19_repetition_14,DONE,2,6.7B,MultiRC
run_79_repetition_22,DONE,4-scout,17B,WSC
run_27_repetition_20,DONE,2,13B,MultiRC
run_17_repetition_19,DONE,2,6.7B,CB
run_10_repetition_11,DONE,1,13B,COPA
run_19_repetition_24,DONE,2,6.7B,MultiRC
run_64_repetition_20,DONE,3.2,11B,BoolQ
run_69_repetition_0,DONE,3.2,11B,RTE
run_18_repetition_12,DONE,2,6.7B,COPA
run_30_repetition_13,DONE,2,13B,WiC
run_75_repetition_22,DONE,4-scout,17B,MultiRC
run_85_repetition_15,DONE,4-maverick,17B,RTE
run_74_repetition_20,DONE,4-scout,17B,COPA
run_51_repetition_9,DONE,3.2,1B,MultiRC
run_72_repetition_24,DONE,4-scout,17B,BoolQ
run_17_repetition_2,DONE,2,6.7B,CB
run_58_repetition_4,DONE,3.2,3B,COPA
run_32_repetition_15,DONE,3,8B,BoolQ
run_55_repetition_25,DONE,3.2,1B,WSC
